url,repo_name,watchers,stars,forks,commits,branches,releases,contributors,,
https://github.com/chentao0707/SimplifyReader,SimplifyReader,254,4214,1645,46,3,0,6,,
https://github.com/chenupt/SpringIndicator,SpringIndicator,86,2072,536,54,1,3,2,,
https://github.com/chewiebug/GCViewer,GCViewer,239,2032,505,643,7,11,,,
https://github.com/chrisbanes/ActionBar-PullToRefresh,ActionBar-PullToRefresh,298,3301,1075,400,1,17,,,
https://github.com/chrisbanes/Android-PullToRefresh,Android-PullToRefresh,1041,8588,5152,477,2,24,20,,
https://github.com/chrisbanes/cheesesquare,cheesesquare,414,7333,1819,24,2,1,3,,
https://github.com/chrisbanes/philm,philm,158,2099,512,763,4,17,4,,
https://github.com/chrisbanes/PhotoView,PhotoView,660,12451,3251,425,1,17,29,,
https://github.com/chrisjenx/Calligraphy,Calligraphy,236,7409,938,298,5,5,34,,
https://github.com/ChrisRM/material-theme-jetbrains,material-theme-jetbrains,154,5221,324,1,297,1,121,,
https://github.com/cjlin1/libsvm,libsvm,275,2499,1143,1,15,1,31,,
https://github.com/Clans/FloatingActionButton,FloatingActionButton,161,3884,928,154,4,15,6,,
https://github.com/claritylab/lucida,lucida,426,4769,926,2,200,7,4,,
https://github.com/Cleveroad/FanLayoutManager,FanLayoutManager,42,1679,232,55,3,0,,,
https://github.com/Cleveroad/SlidingTutorial-Android,SlidingTutorial-Android,99,2231,374,95,3,0,,,
https://github.com/clojure/clojure,clojure,714,6963,1150,3,142,22,122,,
https://github.com/code-mc/material-icon-lib,material-icon-lib,60,2080,196,29,1,11,,,
https://github.com/code-troopers/android-betterpickers,android-betterpickers,133,2643,591,585,5,29,41,,
https://github.com/code4craft/webmagic,webmagic,740,6061,2949,1,15,3,23,,
https://github.com/codecentric/spring-boot-admin,spring-boot-admin,515,3723,1178,768,6,33,46,,
https://github.com/codeestX/ENViews,ENViews,48,1587,208,18,1,4,1,,
https://github.com/codeestX/GeekNews,GeekNews,125,2743,696,95,1,0,,,
https://github.com/Comcast/FreeFlow,FreeFlow,160,2449,432,322,6,2,11,,
https://github.com/commonsguy/cw-omnibus,cw-omnibus,738,4349,3529,1,20,1,54,,
https://github.com/crate/crate,crate,143,1906,244,8,57,143,303,,
https://github.com/CrawlScript/WebCollector,WebCollector,290,1717,1137,269,4,0,,,
https://github.com/crazyandcoder/citypicker,citypicker,42,1488,347,114,1,0,1,,
https://github.com/crazycodeboy/react-native-splash-screen,react-native-splash-screen,40,1530,274,78,1,6,16,,
https://github.com/crazycodeboy/TakePhoto,TakePhoto,154,4420,1006,156,5,14,6,,
https://github.com/cryptomator/cryptomator,cryptomator,137,1935,198,1,38,7,52,,
https://github.com/cSploit/android,android,287,1571,815,1,380,9,38,,
https://github.com/ctripcorp/apollo,apollo,524,3661,1403,1,625,4,9,,
https://github.com/cucumber/cucumber-jvm,cucumber-jvm,183,1640,1403,3,584,14,56,,
https://github.com/Curzibn/Luban,Luban,269,6902,1305,147,1,3,7,,
https://github.com/CyberAgent/android-gpuimage,android-gpuimage,319,4593,1502,254,2,7,20,,
https://github.com/CymChad/BaseRecyclerViewAdapterHelper,BaseRecyclerViewAdapterHelper,432,12155,2651,871,4,165,26,,
https://github.com/cymcsg/UltimateAndroid,UltimateAndroid,207,2023,740,890,4,4,5,,
https://github.com/cymcsg/UltimateRecyclerView,UltimateRecyclerView,313,6367,1417,725,6,16,10,,
https://github.com/cyrilmottier/GreenDroid,GreenDroid,284,2639,969,69,1,2,,,
https://github.com/daimajia/AndroidImageSlider,AndroidImageSlider,247,4835,1574,126,2,10,13,,
https://github.com/daimajia/AndroidSwipeLayout,AndroidSwipeLayout,448,9607,2445,175,5,20,17,,
https://github.com/daimajia/AndroidViewAnimations,AndroidViewAnimations,437,8989,2003,140,3,14,17,,
https://github.com/daimajia/AndroidViewHover,AndroidViewHover,144,2831,746,34,1,4,4,,
https://github.com/daimajia/AnimationEasingFunctions,AnimationEasingFunctions,111,2032,365,38,1,3,7,,
https://github.com/daimajia/AnimeTaste,AnimeTaste,115,1616,534,125,4,6,1,,
https://github.com/daimajia/NumberProgressBar,NumberProgressBar,225,4688,1273,61,1,4,9,,
https://github.com/danielzeller/Depth-LIB-Android-,Depth-LIB-Android-,181,4189,617,32,1,0,7,,
https://github.com/danikula/AndroidVideoCache,AndroidVideoCache,104,2106,537,87,3,21,5,,
https://github.com/daniulive/SmarterStreaming,SmarterStreaming,313,4677,1281,471,1,0,1,,
https://github.com/danylovolokh/VideoPlayerManager,VideoPlayerManager,106,2420,592,73,1,0,1,,
https://github.com/databricks/learning-spark,learning-spark,329,2176,1638,416,1,0,7,,
https://github.com/davemorrissey/subsampling-scale-image-view,subsampling-scale-image-view,155,3762,633,332,2,20,19,,
https://github.com/davideas/FlexibleAdapter,FlexibleAdapter,109,2412,390,899,4,22,,,
https://github.com/dbeaver/dbeaver,dbeaver,225,4228,382,8,489,8,57,,
https://github.com/deano2390/MaterialShowcaseView,MaterialShowcaseView,61,2024,398,84,2,9,11,,
